id_lot;production_date;vaccine_type;production_site;bioreactor_type;bioreactor_volume_l;raw_material_supplier;operator_shift;maintenance_status;sterilization_method;fermentation_time_hours;culture_temperature_c;ph_level;agitation_speed_rpm;oxygen_flow_rate_lpm;glucose_feed_rate_ml_min;nutrient_concentration_g_l;initial_cell_density_e6_ml;final_cell_density_e6_ml;lactate_level_g_l;bioreactor_pressure_psi;harvest_volume_l;filtration_pressure_bar;purification_duration_hours;chromatography_residence_time_min;buffer_ph;raw_material_purity_percent;enzyme_activity_u_ml;viscosity_cp;conductivity_ms_cm;moisture_content_percent;impurity_rate_ppm;endotoxin_level_eu_ml;purification_method;batch_quality_grade;vaccine_yield_g_l
LOT_2025_001;2/1/25;mRNA;Site_Alpha;single_use;2000;BioSupplies_Inc;Day;recent;gamma_irradiation;48.5;37.1;7.22;150;12.5;45.2;8.5;0.52;12.4;1.2;5.1;1850.5;1.2;12.5;4.5;7.1;99.2;1200;4.5;12.5;1.2;150;0.5;chromatography_affinity;A;4.85
LOT_2025_002;3/1/25;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.1;36.8;7.15;280;25.1;80.5;12.1;0.85;24.5;2.5;8.2;4600.2;1.8;24.1;6.2;7;98.5;1150;5.2;14.1;0.8;220;1.2;filtration_tangential;B;7.23
LOT_2025_003;4/1/25;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;overdue;steam_in_place;120.5;37.4;6.95;310;22.4;75.1;11.5;1.1;35.2;4.8;8.5;4750;2.1;36;5.8;6.8;97.1;950;8.5;15.2;2.5;450;2.5;centrifugation;C;9.15
LOT_2025_004;5/1/25;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.2;37;7.2;145;11.8;44.5;8.2;0.5;11.8;1.1;4.9;920.5;1.1;11.8;4.4;7.2;99.5;1220;4.4;12.4;1.1;130;0.4;chromatography_affinity;A;4.92
LOT_2025_005;6/1/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Day;recent;gamma_irradiation;70.5;36.9;7.18;200;18.5;60.2;10.5;0.75;20.1;2.1;5.5;1900.1;1.5;22.5;6;7.1;98.8;1180;5;13.8;0.9;180;1;chromatography_ion_exchange;A;6.85
LOT_2025_006;7/1/25;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;normal;steam_in_place;118.2;37.2;7.05;350;45.2;150.5;14.2;1.2;42.5;5.1;12.5;9500.5;2.4;40.5;5.5;6.9;96.5;900;9.1;16.5;2.8;500;3.1;centrifugation;B;12.45
LOT_2025_007;8/1/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;recent;gamma_irradiation;49.1;37.1;7.21;152;12.6;45.8;8.6;0.53;12.6;1.2;5.2;1860.2;1.2;12.6;4.5;7.1;99.3;1205;4.5;12.6;1.2;145;0.5;chromatography_affinity;A;4.88
LOT_2025_008;9/1/25;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.5;36.5;7.1;180;8.5;30.2;9.5;0.6;18.5;1.8;4.2;480.5;1.4;18.5;5.2;7;98.2;1100;6.2;13.5;1.5;250;1.5;filtration_depth;B;5.5
LOT_2025_009;10/1/25;viral_vector;Site_Beta;stainless_steel;5000;BioSupplies_Inc;Day;overdue;steam_in_place;73.5;37.8;7.02;275;24.5;78.5;11.8;0.82;22.5;3.2;8;4550.8;2.5;25.2;6.1;6.8;97.5;1120;5.4;14.5;1.1;300;1.8;filtration_tangential;C;6.95
LOT_2025_010;11/1/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Day;normal;gamma_irradiation;48;37;7.22;148;12.4;45;8.4;0.51;12.2;1.1;5;1840.5;1.2;12.2;4.5;7.2;99.4;1210;4.5;12.5;1.2;140;0.5;chromatography_affinity;A;4.9
LOT_2025_011;12/1/25;inactivated;Site_Gamma;stainless_steel;2000;ChemCorp_Global;Night;maintenance;steam_in_place;122.1;36.4;6.85;300;20.5;70.2;10.5;1.05;32.1;5.5;7.8;1850.2;2.8;38.2;5.6;6.7;95.5;880;8.2;15.8;3.1;600;3.5;centrifugation;C;8.5
LOT_2025_012;13-01-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;recent;gamma_irradiation;95.2;36.6;7.12;185;9.2;32.5;9.8;0.62;19.2;1.6;4.5;950.5;1.3;18;5.3;7.1;98.6;1115;6.1;13.4;1.4;240;1.4;filtration_depth;B;5.75
LOT_2025_013;14-01-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.2;36.9;7.16;205;18.8;61.5;10.8;0.78;20.8;2.2;5.6;1920.5;1.6;22.8;6;7.1;98.9;1185;5.1;13.9;0.9;175;1;chromatography_ion_exchange;A;6.92
LOT_2025_014;15-01-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Day;overdue;gamma_irradiation;46.5;37.5;7.05;140;11.2;43.2;8;0.48;11.2;1.5;4.8;900.2;1.5;13.5;4.3;6.9;98.2;1150;4.3;12.8;1.5;200;0.8;chromatography_affinity;B;4.55
LOT_2025_015;16-01-2025;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Night;recent;steam_in_place;119.5;37.2;7.06;355;45.8;152.2;14.5;1.22;43.2;5;12.6;9600.2;2.3;40.2;5.5;6.9;96.8;910;9.2;16.4;2.7;480;3;centrifugation;B;12.65
LOT_2025_016;17-01-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Day;normal;steam_in_place;72.5;36.8;7.15;282;25.3;80.8;12.2;0.86;24.8;2.4;8.3;4620.5;1.8;24.3;6.2;7;98.6;1155;5.2;14.2;0.8;215;1.2;filtration_tangential;A;7.28
LOT_2025_017;18-01-2025;recombinant;Site_Gamma;stainless_steel;500;BioSupplies_Inc;Night;overdue;steam_in_place;94.2;36.2;7.02;175;8.1;28.5;9.2;0.58;17.5;2.1;4;460.5;1.8;19.5;5;6.8;97.5;1050;6.5;13.8;1.8;300;1.8;filtration_depth;C;5.1
LOT_2025_018;19-01-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Day;normal;gamma_irradiation;48.2;37;7.22;149;12.5;45.1;8.5;0.52;12.3;1.2;5;1845.2;1.2;12.3;4.5;7.2;99.4;1215;4.5;12.5;1.2;142;0.5;chromatography_affinity;A;4.91
LOT_2025_019;20-01-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;recent;steam_in_place;120.8;37.3;7;315;22.8;76.2;11.8;1.12;36.5;4.5;8.6;4800.5;2;36.5;5.8;6.9;97.5;960;8.6;15.3;2.4;440;2.4;centrifugation;B;9.45
